"Org_canonical","lat","long"
"University of Colorado Boulder",40.0070061,-105.2664423
"National Institute of Neurological Disorders and Stroke",NA,NA
"Eulji University",36.3549067,127.3819725
"Kansas State University",39.2086412,-96.5884966
"Weizmann Institute of Science",31.9078499,34.8133409
"Murdoch Children s Research Institute",-37.7934273,144.9489205
"University of Bonn",50.7338124,7.1022465
"Murdoch University",-32.0674157,115.8346086
"University of Kansas Medical Center",39.0571097,-94.6095438
"Temple University School of Medicine",40.0069834,-75.152203
"INSERM",45.7442613,4.8765302
"Queensland Centre for Medical Genomics",NA,NA
"University of Edinburgh",55.9440765,-3.1883736
"Universitätsklinikum Jena",50.928651,11.5798407
"Agilent Technologies",53.3808609,-2.2225124
"Nationwide Children's Hospital",39.9520639,-82.9790074
"Columbia University",40.8077507,-73.9624901
"Institute of Hematology and Transfusion",21.0246551,105.7883765
"National Institute for Public Health and the Environment",52.1186518,5.1890807
"Uito",38.8061296,-0.4360682
"The Hospital for Sick Children",55.9383783,-3.1892855
"Helicos Biosciences",NA,NA
"Kyushu University",33.6707768,130.4444986
"National Institute of Advanced Industrial Science Technology Aist",NA,NA
"National Tsing Hua University",24.7916987,120.9924295
"Rosetta Inpharmatics",NA,NA
"Uppsala University",59.8576363,17.6294616
"University of Bonn",50.7338124,7.1022465
"Beijing Institute of Genomics",NA,NA
"KU Leuven",50.8057129,3.2915374
"KU Leuven",50.8057129,3.2915374
"National Institute of Biological Sciences Beijing",40.0956957,116.2712863
"Fujita Health University",35.0708533,137.0004253
"University of Kansas Medical Center",39.0571097,-94.6095438
"Riken Tsukuba Institute",NA,NA
"Osaka Prefecture University",34.4139318,135.3031836
"Institut Pasteur De Lille",50.6281931,3.0748572
"Asuragen Inc",NA,NA
"Memorial University of Newfoundland",47.5732831,-52.7351911
"University of Florence",34.824923,-87.6906528
"University of New Mexico",35.0866328,-106.6202094
"Dartmouth Medical School",43.7079268,-72.2845337
"Cold Spring Harbor Laboratory",40.8623522,-73.4699926
"Koch Institute",52.5272588,13.3784597
"University of Guelph",43.5327864,-80.2249974
"Suny University at Albany",NA,NA
"Hospital a c Camargo",32.5140548,-117.0310965
"Korea Institute of Oriental Medicine",NA,NA
"Universitetet i Tromso",69.6813216,18.9740425
"Inserm Cea",NA,NA
"Hci Helmholtz Centre for Infection Research",NA,NA
"Nibr",59.9211819,10.7363556
"King's College London",51.5030855,-0.0900021
"Escola De Vetreinaria Da Universidade Federal De Minas Gerais",NA,NA
"Best Institute",61.5629026,-149.2561465
"Ontario Cancer Institute",44.2239663,-76.4911796
"Memorial Sloan Kettering Cancer Center",40.7644418,-73.9569549
"University of Eastern Finland",62.6043509,29.7422326
"Institute of Pharmacology",50.4603306,30.4365142
"Seattle Biomedical Research Institute",NA,NA
"Applied Biosystems",37.6453971,-121.8843768
"National Center for Child Health and Development",NA,NA
"Jivan Biologics Inc",NA,NA
"Medical College of Georgia",33.4706616,-81.9889321
"Canada s Michael Smith Genome Sciences Centre",NA,NA
"Institute for Molecular Bioscience Uni of Qld",NA,NA
"Lynx Therapeutics Inc",NA,NA
"Sorbonne University",48.8468997,2.3574487
"Rosetta Genomics Ltd",NA,NA
"Memorial Sloan Kettering Cancer Center",40.7644418,-73.9569549
"Enh Research Institute",NA,NA
"Solexa",NA,NA
"Merck",50.6273296,2.1141079
"Rosetta Inpharmatics",NA,NA
